"filename", "language", "Python", "reStructuredText", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_authentication.py", "Python", 90, 0, 0, 0, 0, 10, 23, 123
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_common.py", "Python", 31, 0, 0, 0, 0, 7, 16, 54
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_dll.py", "Python", 11, 0, 0, 0, 0, 7, 4, 22
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_nl_support.py", "Python", 3, 0, 0, 0, 0, 7, 3, 13
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_resource.py", "Python", 111, 0, 0, 0, 0, 7, 31, 149
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_system_information.py", "Python", 21, 0, 0, 0, 0, 7, 9, 37
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_time.py", "Python", 5, 0, 0, 0, 0, 7, 4, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\core\ctypes\_util.py", "Python", 50, 0, 0, 0, 0, 7, 22, 79
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\pywin32\__init__.py", "Python", 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\pywin32\pywintypes.py", "Python", 51, 0, 0, 0, 0, 7, 10, 68
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\pywin32\win32api.py", "Python", 211, 0, 0, 0, 0, 9, 75, 295
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\pywin32\win32cred.py", "Python", 118, 0, 0, 0, 0, 7, 21, 146
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\pywintypes.py", "Python", 5, 0, 0, 0, 0, 7, 2, 14
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\tests\__init__.py", "Python", 13, 0, 0, 0, 0, 7, 2, 22
