Date : 2025-05-15 20:12:39
Directory : c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza
Total : 1304 files,  47288 codes, 21300 comments, 13363 blanks, all 81951 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\templates.py                                                     | Python           |        109 |         10 |          8 |        127 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\utils.py                                                         | Python           |        554 |        159 |        122 |        835 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\compat.py                                                                 | Python           |        499 |        157 |        114 |        770 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\config.py                                                                 | Python           |         30 |         12 |         15 |         57 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\configure.py                                                              | Python           |         72 |         19 |         17 |        108 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\__init__.py                                                        | Python           |          0 |          1 |          1 |          2 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\analysis.py                                                        | Python           |        685 |        185 |        133 |      1,003 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\bindepend.py                                                       | Python           |        569 |        245 |        164 |        978 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\bytecode.py                                                        | Python           |        213 |         70 |         64 |        347 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\dylib.py                                                           | Python           |        224 |        100 |         47 |        371 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\imphook.py                                                         | Python           |        373 |        110 |        100 |        583 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\imphookapi.py                                                      | Python           |        365 |         33 |         89 |        487 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\utils.py                                                           | Python           |        225 |         70 |         50 |        345 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\exceptions.py                                                             | Python           |         52 |         10 |         23 |         85 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\fake-modules\_pyi_rth_utils\__init__.py                                   | Python           |         17 |         15 |          5 |         37 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\fake-modules\_pyi_rth_utils\_win32.py                                     | Python           |        218 |         49 |         67 |        334 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\fake-modules\_pyi_rth_utils\qt.py                                         | Python           |         67 |         34 |         18 |        119 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\fake-modules\_pyi_rth_utils\tempfile.py                                   | Python           |         32 |         15 |         10 |         57 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\fake-modules\pyi_splash.py                                                | Python           |        132 |         33 |         47 |        212 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\__init__.py                                                         | Python           |          0 |          1 |          1 |          2 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PIL.Image.py                                                   | Python           |          2 |         12 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PIL.ImageFilter.py                                             | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PIL.SpiderImagePlugin.py                                       | Python           |          1 |         12 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PIL.py                                                         | Python           |          2 |         16 |          4 |         22 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QAxContainer.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qsci.py                                                  | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qt.py                                                    | Python           |         11 |         15 |          4 |         30 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qt3DAnimation.py                                         | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qt3DCore.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qt3DExtras.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qt3DInput.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qt3DLogic.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.Qt3DRender.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtBluetooth.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtChart.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtCore.py                                                | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtDBus.py                                                | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtDataVisualization.py                                   | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtDesigner.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtGui.py                                                 | Python           |          2 |         10 |          3 |         15 |
