Date : 2025-05-15 20:12:39
Directory : c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza
Total : 1304 files,  47288 codes, 21300 comments, 13363 blanks, all 81951 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-folium.py                                    | Python           |          2 |         12 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-freetype.py                                  | Python           |          2 |         12 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-frictionless.py                              | Python           |          3 |         13 |          4 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-fsspec.py                                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-fvcore.nn.py                                 | Python           |          1 |         12 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gadfly.py                                    | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gbulb.py                                     | Python           |          1 |         12 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gcloud.py                                    | Python           |          5 |         14 |          3 |         22 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-geopandas.py                                 | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gitlab.py                                    | Python           |          2 |         18 |          3 |         23 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gmplot.py                                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gmsh.py                                      | Python           |         11 |         13 |          5 |         29 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gooey.py                                     | Python           |          5 |         11 |          3 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.api_core.py                           | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.cloud.bigquery.py                     | Python           |          3 |         12 |          2 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.cloud.core.py                         | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.cloud.kms_v1.py                       | Python           |          2 |         14 |          4 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.cloud.pubsub_v1.py                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.cloud.speech.py                       | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.cloud.storage.py                      | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-google.cloud.translate.py                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-googleapiclient.model.py                     | Python           |          4 |         14 |          3 |         21 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-grapheme.py                                  | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-graphql_query.py                             | Python           |          5 |         11 |          3 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-great_expectations.py                        | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gribapi.py                                   | Python           |         41 |         28 |         15 |         84 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-grpc.py                                      | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gst._gst.py                                  | Python           |         21 |         17 |          8 |         46 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-gtk.py                                       | Python           |          4 |         11 |          2 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-h3.py                                        | Python           |          3 |         12 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-h5py.py                                      | Python           |          5 |         11 |          3 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-hdf5plugin.py                                | Python           |          2 |         12 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-hexbytes.py                                  | Python           |          3 |         12 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-httplib2.py                                  | Python           |          2 |         12 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-humanize.py                                  | Python           |          8 |         11 |          5 |         24 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-hydra.py                                     | Python           |          9 |         23 |          5 |         37 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-ijson.py                                     | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-imageio.py                                   | Python           |          3 |         14 |          5 |         22 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-imageio_ffmpeg.py                            | Python           |          4 |         14 |          5 |         23 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-iminuit.py                                   | Python           |          5 |         15 |          6 |         26 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-intake.py                                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-iso639.py                                    | Python           |          2 |         12 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-itk.py                                       | Python           |          5 |         13 |          4 |         22 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jaraco.text.py                               | Python           |          2 |         12 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jedi.py                                      | Python           |          2 |         12 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jieba.py                                     | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jinja2.py                                    | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jinxed.py                                    | Python           |          3 |         11 |          2 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jira.py                                      | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jsonpath_rw_ext.py                           | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jsonrpcserver.py                             | Python           |          2 |         13 |          4 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jsonschema.py                                | Python           |          3 |         14 |          4 |         21 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jsonschema_specifications.py                 | Python           |          2 |         11 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-jupyterlab.py                                | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-kaleido.py                                   | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-khmernltk.py                                 | Python           |          3 |         11 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-kinterbasdb.py                               | Python           |          6 |         12 |          2 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-langchain.py                                 | Python           |          7 |         14 |          5 |         26 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-langcodes.py                                 | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-langdetect.py                                | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-laonlp.py                                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lark.py                                      | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-ldfparser.py                                 | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lensfunpy.py                                 | Python           |          3 |         12 |          2 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-libaudioverse.py                             | Python           |          5 |         11 |          3 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-librosa.py                                   | Python           |          3 |         19 |          4 |         26 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lightgbm.py                                  | Python           |          4 |         21 |          3 |         28 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lightning.py                                 | Python           |          5 |         14 |          3 |         22 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-limits.py                                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-linear_operator.py                           | Python           |          1 |         12 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lingua.py                                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-litestar.py                                  | Python           |          2 |         11 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-llvmlite.py                                  | Python           |          2 |         17 |          3 |         22 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-logilab.py                                   | Python           |          2 |         23 |          2 |         27 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lxml.etree.py                                | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lxml.isoschematron.py                        | Python           |          3 |         12 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lxml.objectify.py                            | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lxml.py                                      | Python           |          2 |         16 |          3 |         21 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-lz4.py                                       | Python           |          2 |         12 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-magic.py                                     | Python           |          3 |         12 |          4 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-mako.codegen.py                              | Python           |          5 |         11 |          2 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-mariadb.py                                   | Python           |          4 |         18 |          4 |         26 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-markdown.py                                  | Python           |          9 |         15 |          5 |         29 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-mecab.py                                     | Python           |          3 |         11 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-metpy.py                                     | Python           |          3 |         15 |          4 |         22 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-migrate.py                                   | Python           |          3 |         14 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-mimesis.py                                   | Python           |          2 |         12 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-minecraft_launcher_lib.py                    | Python           |          2 |         11 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-mistune.py                                   | Python           |          3 |         13 |          4 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-mnemonic.py                                  | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-monai.py                                     | Python           |          1 |         12 |          2 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-moviepy.audio.fx.all.py                      | Python           |          2 |         13 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-moviepy.video.fx.all.py                      | Python           |          2 |         13 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-mpl_toolkits.basemap.py                      | Python           |         13 |         15 |          9 |         37 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-msoffcrypto.py                               | Python           |          5 |         11 |          3 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nacl.py                                      | Python           |         12 |         13 |          6 |         31 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-names.py                                     | Python           |          2 |         13 |          4 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nanite.py                                    | Python           |          2 |         12 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-narwhals.py                                  | Python           |          6 |         14 |          3 |         23 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nbconvert.py                                 | Python           |          3 |         12 |          4 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nbdime.py                                    | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nbformat.py                                  | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nbt.py                                       | Python           |          1 |         11 |          1 |         13 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-ncclient.py                                  | Python           |          8 |         13 |          3 |         24 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-netCDF4.py                                   | Python           |         13 |         19 |          6 |         38 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-niquests.py                                  | Python           |          2 |         11 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nltk.py                                      | Python           |          8 |         15 |          5 |         28 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nnpy.py                                      | Python           |          4 |         11 |          2 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-notebook.py                                  | Python           |         10 |         13 |          5 |         28 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-numba.py                                     | Python           |         24 |         26 |          5 |         55 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-numbers_parser.py                            | Python           |          2 |         12 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-numcodecs.py                                 | Python           |          4 |         13 |          4 |         21 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cublas.py                             | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cuda_cupti.py                         | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cuda_nvcc.py                          | Python           |          8 |         18 |          5 |         31 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cuda_nvrtc.py                         | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cuda_runtime.py                       | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cudnn.py                              | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cufft.py                              | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.curand.py                             | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cusolver.py                           | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.cusparse.py                           | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.nccl.py                               | Python           |          6 |         11 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-nvidia.nvjitlink.py                          | Python           |          6 |         11 |          3 |         20 |
