"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\charsets.py", "Python", 583, 0, 0, 31, 7, 621
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\connection.py", "Python", 1480, 0, 0, 67, 237, 1784
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\connection_cext.py", "Python", 969, 0, 0, 53, 149, 1171
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\constants.py", "Python", 976, 0, 0, 35, 132, 1143
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\conversion.py", "Python", 614, 0, 0, 47, 112, 773
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\cursor.py", "Python", 1211, 0, 0, 63, 220, 1494
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\cursor_cext.py", "Python", 1004, 0, 0, 68, 210, 1282
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\custom_types.py", "Python", 15, 0, 0, 27, 8, 50
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\dbapi.py", "Python", 41, 0, 0, 29, 23, 93
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\base.py", "Python", 509, 0, 0, 61, 84, 654
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\client.py", "Python", 57, 0, 0, 29, 21, 107
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\compiler.py", "Python", 15, 0, 0, 27, 4, 46
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\creation.py", "Python", 3, 0, 0, 27, 4, 34
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\features.py", "Python", 15, 0, 0, 27, 9, 51
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\introspection.py", "Python", 371, 0, 0, 65, 26, 462
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\operations.py", "Python", 58, 0, 0, 30, 17, 105
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\schema.py", "Python", 23, 0, 0, 28, 9, 60
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\validation.py", "Python", 3, 0, 0, 27, 4, 34
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\errorcode.py", "Python", 1839, 0, 0, 33, 6, 1878
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\errors.py", "Python", 280, 0, 0, 37, 77, 394
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\locales\__init__.py", "Python", 40, 0, 0, 27, 14, 81
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\locales\eng\__init__.py", "Python", 2, 0, 0, 27, 2, 31
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\locales\eng\client_error.py", "Python", 116, 0, 0, 32, 5, 153
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\logger.py", "Python", 3, 0, 0, 27, 4, 34
