"filename", "language", "Python", "pip requirements", "Properties", "MS SQL", "Batch", "PowerShell", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\appengine.py", "Python", 244, 0, 0, 0, 0, 0, 0, 0, 14, 57, 315
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\ntlmpool.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 7, 20, 131
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\pyopenssl.py", "Python", 389, 0, 0, 0, 0, 0, 0, 0, 25, 105, 519
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py", "Python", 646, 0, 0, 0, 0, 0, 0, 0, 134, 142, 922
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\socks.py", "Python", 167, 0, 0, 0, 0, 0, 0, 0, 7, 43, 217
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\exceptions.py", "Python", 183, 0, 0, 0, 0, 0, 0, 0, 10, 131, 324
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\fields.py", "Python", 212, 0, 0, 0, 0, 0, 0, 0, 5, 58, 275
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\filepost.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 29, 99
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\packages\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\makefile.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 1, 4, 52
